observationAbout,observationDate,value,variableMeasured,unit
country/CRI,2024,183820000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/CRI,2024,0.0421,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/CRI,2025,223870000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/CRI,2025,0.0511,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/CRI,2025,21.79,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/CIV,2024,685530000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/CIV,2024,0.1568,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/CIV,2025,989520000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/CIV,2025,0.2261,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/CIV,2025,44.34,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/HRV,2024,233300000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/HRV,2024,0.0534,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/HRV,2025,335760000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/HRV,2025,0.0767,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/HRV,2025,43.92,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/CUB,2024,40460000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/CUB,2024,0.0093,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/CUB,2025,15270000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/CUB,2025,0.0035,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/CUB,2025,-62.26,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/CWW,2024,0,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/CWW,2025,290000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/CWW,2025,0.0001,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/CYP,2024,94920000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/CYP,2024,0.0217,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/CYP,2025,89920000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/CYP,2025,0.0205,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/CYP,2025,-5.26,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/CZE,2024,1389790000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/CZE,2024,0.318,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/CZE,2025,2062690000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/CZE,2025,0.4713,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/CZE,2025,48.42,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/DNK,2024,856240000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/DNK,2024,0.1959,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/DNK,2025,871410000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/DNK,2025,0.1991,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/DNK,2025,1.77,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/DJI,2024,1143580000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/DJI,2024,0.2616,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/DJI,2025,677240000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/DJI,2025,0.1547,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/DJI,2025,-40.78,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/DOM,2024,347000000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/DOM,2024,0.0794,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/DOM,2025,381670000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/DOM,2025,0.0872,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/DOM,2025,9.99,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/DMA,2024,2530000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/DMA,2024,0.0006,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/DMA,2025,6590000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/DMA,2025,0.0015,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/DMA,2025,160.51,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/ECU,2024,459210000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/ECU,2024,0.1051,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/ECU,2025,316690000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/ECU,2025,0.0724,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/ECU,2025,-31.03,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/EGY,2024,3520620000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/EGY,2024,0.8055,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/EGY,2025,3411360000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/EGY,2025,0.7794,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/EGY,2025,-3.1,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/SLV,2024,128910000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/SLV,2024,0.0295,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/SLV,2025,149090000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/SLV,2025,0.0341,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/SLV,2025,15.66,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/GNQ,2024,26790000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/GNQ,2024,0.0061,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/GNQ,2025,19180000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/GNQ,2025,0.0044,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/GNQ,2025,-28.4,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/ERI,2024,10050000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/ERI,2024,0.0023,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/ERI,2025,19000000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/ERI,2025,0.0043,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/ERI,2025,88.99,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/EST,2024,77290000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/EST,2024,0.0177,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/EST,2025,69660000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/EST,2025,0.0159,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/EST,2025,-9.88,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/ETH,2024,489590000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/ETH,2024,0.112,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/ETH,2025,476810000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/ETH,2025,0.1089,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/ETH,2025,-2.61,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/FLK,2024,0,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/FLK,2025,10000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/FLK,2025,0,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/FRO,2024,5940000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/FRO,2024,0.0014,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/FRO,2025,12670000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/FRO,2025,0.0029,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/FRO,2025,113.27,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/FJI,2024,76280000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/FJI,2024,0.0175,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/FJI,2025,84670000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/FJI,2025,0.0193,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/FJI,2025,11,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/FIN,2024,582520000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/FIN,2024,0.1333,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/FIN,2025,471820000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/FIN,2025,0.1078,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/FIN,2025,-19,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/GUF,2024,1470000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/GUF,2024,0.0003,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/GUF,2025,1510000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/GUF,2025,0.0003,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/GUF,2025,2.95,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/PYF,2024,12000000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/PYF,2024,0.0027,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/PYF,2025,12520000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/PYF,2025,0.0029,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/PYF,2025,4.36,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/FRA,2024,7141090000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/FRA,2024,1.6338,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/FRA,2025,7960060000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/FRA,2025,1.8186,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/FRA,2025,11.47,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/GAB,2024,72670000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/GAB,2024,0.0166,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/GAB,2025,94120000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/GAB,2025,0.0215,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/GAB,2025,29.51,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/GMB,2024,175950000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/GMB,2024,0.0403,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/GMB,2025,116160000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/GMB,2025,0.0265,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/GMB,2025,-33.98,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/GEO,2024,197490000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/GEO,2024,0.0452,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/GEO,2025,288980000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/GEO,2025,0.066,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/GEO,2025,46.33,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/DEU,2024,9839630000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/DEU,2024,2.2513,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/DEU,2025,10628610000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/DEU,2025,2.4283,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/DEU,2025,8.02,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/GHA,2024,1098880000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/GHA,2024,0.2514,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/GHA,2025,1346750000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/GHA,2025,0.3077,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/GHA,2025,22.56,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/GIB,2024,829430000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/GIB,2024,0.1898,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/GIB,2025,26670000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/GIB,2025,0.0061,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/GIB,2025,-96.78,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/GRC,2024,1055170000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/GRC,2024,0.2414,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/GRC,2025,1056170000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/GRC,2025,0.2413,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/GRC,2025,0.09,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/GRL,2024,230000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/GRL,2024,0.0001,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/GRL,2025,30000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/GRL,2025,0,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/GRL,2025,-86.19,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/GRD,2024,4400000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/GRD,2024,0.001,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/GRD,2025,4450000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/GRD,2025,0.001,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/GRD,2025,1.21,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/GLP,2024,4610000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/GLP,2024,0.0011,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/GLP,2025,5290000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/GLP,2025,0.0012,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/GLP,2025,14.65,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/GUM,2024,850000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/GUM,2024,0.0002,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/GUM,2025,1210000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/GUM,2025,0.0003,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/GUM,2025,43.13,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/GTM,2024,559050000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/GTM,2024,0.1279,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/GTM,2025,633930000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/GTM,2025,0.1448,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/GTM,2025,13.39,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/GGY,2024,0,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/GGY,2025,0,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/GGY,2025,0,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/GIN,2024,696480000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/GIN,2024,0.1594,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/GIN,2025,901080000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/GIN,2025,0.2059,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/GIN,2025,29.38,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/GNB,2024,6980000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/GNB,2024,0.0016,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/GNB,2025,22420000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/GNB,2025,0.0051,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/GNB,2025,220.98,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/GUY,2024,99360000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/GUY,2024,0.0227,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/GUY,2025,92590000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/GUY,2025,0.0212,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/GUY,2025,-6.82,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/HTI,2024,105540000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/HTI,2024,0.0241,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/HTI,2025,89030000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/HTI,2025,0.0203,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/HTI,2025,-15.64,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/HND,2024,265930000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/HND,2024,0.0608,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/HND,2025,274470000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/HND,2025,0.0627,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/HND,2025,3.22,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/HKG,2024,8243930000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/HKG,2024,1.8862,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/HKG,2025,6066710000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/HKG,2025,1.386,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/HKG,2025,-26.41,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/HUN,2024,561460000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/HUN,2024,0.1285,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/HUN,2025,533650000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/HUN,2025,0.1219,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/HUN,2025,-4.95,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/ISL,2024,12160000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/ISL,2024,0.0028,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/ISL,2025,66010000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/ISL,2025,0.0151,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/ISL,2025,442.71,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/IDN,2024,5988880000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/IDN,2024,1.3702,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/IDN,2025,5380180000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/IDN,2025,1.2292,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/IDN,2025,-10.16,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
dcid:InstallationInInternationalWater,2024,0,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
dcid:InstallationInInternationalWater,2025,0,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
dcid:InstallationInInternationalWater,2025,0,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/IRN,2024,1222260000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/IRN,2024,0.2796,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/IRN,2025,1241150000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/IRN,2025,0.2836,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/IRN,2025,1.55,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/IRQ,2024,3354730000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/IRQ,2024,0.7675,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/IRQ,2025,3272520000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/IRQ,2025,0.7477,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/IRQ,2025,-2.45,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/IRL,2024,702730000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/IRL,2024,0.1608,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/IRL,2025,864670000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/IRL,2025,0.1975,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/IRL,2025,23.04,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/ISR,2024,4525920000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/ISR,2024,1.0355,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/ISR,2025,2145010000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
country/ISR,2025,0.4901,dcid:Exports_EconomicActivity_CountryIND_AsAFractionOf_Exports_EconomicActivity_ExportSourceIndia,Percent
country/ISR,2025,-52.61,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent
country/ITA,2024,8765780000,dcid:Exports_EconomicActivity_ExportSourceIndia,USD
