typeOf,observationDate,observationAbout,value,unit,variableMeasured
dcs:StatVarObservation,2023,country/IND,6800000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode97
dcs:StatVarObservation,2023,country/IND,17.58,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode97
dcs:StatVarObservation,2023,country/IND,160000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode98
dcs:StatVarObservation,2023,country/IND,75.84,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode98
dcs:StatVarObservation,2023,country/IND,20000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode99
dcs:StatVarObservation,2023,country/IND,-68.79,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode99
dcs:StatVarObservation,2023,country/IND,233220000,USDollar,dcid:Exports_EconomicActivity_CountryARE_HSCode50
dcs:StatVarObservation,2023,country/IND,21640000,USDollar,dcid:Exports_EconomicActivity_CountryARE_HSCode51
dcs:StatVarObservation,2023,country/IND,74620000,USDollar,dcid:Exports_EconomicActivity_CountryARE_HSCode53
dcs:StatVarObservation,2023,country/IND,1612460000,USDollar,dcid:Exports_EconomicActivity_CountryARE_HSCode54
dcs:StatVarObservation,2023,country/IND,879610000,USDollar,dcid:Exports_EconomicActivity_CountryARE_HSCode55
dcs:StatVarObservation,2023,country/IND,249050000,USDollar,dcid:Exports_EconomicActivity_CountryARE_HSCode56
dcs:StatVarObservation,2023,country/IND,371300000,USDollar,dcid:Exports_EconomicActivity_CountryARE_HSCode57
dcs:StatVarObservation,2023,country/IND,196640000,USDollar,dcid:Exports_EconomicActivity_CountryARE_HSCode58
dcs:StatVarObservation,2023,country/IND,238120000,USDollar,dcid:Exports_EconomicActivity_CountryARE_HSCode59
dcs:StatVarObservation,2023,country/IND,73410000,USDollar,dcid:Exports_EconomicActivity_CountryARE_HSCode60
dcs:StatVarObservation,2023,country/IND,5606950000,USDollar,dcid:Exports_EconomicActivity_CountryARE_HSCode61
dcs:StatVarObservation,2023,country/IND,4268530000.0,USDollar,dcid:Exports_EconomicActivity_CountryARE_HSCode62
dcs:StatVarObservation,2023,country/IND,1735610000,USDollar,dcid:Exports_EconomicActivity_CountryARE_HSCode63
dcs:StatVarObservation,2023,country/IND,677400000,USDollar,dcid:Exports_EconomicActivity_CountryARE_HSCode64
dcs:StatVarObservation,2023,country/IND,36040000,USDollar,dcid:Exports_EconomicActivity_CountryARE_HSCode65
dcs:StatVarObservation,2023,country/IND,2470000,USDollar,dcid:Exports_EconomicActivity_CountryARE_HSCode66
dcs:StatVarObservation,2023,country/IND,721820000,USDollar,dcid:Exports_EconomicActivity_CountryARE_HSCode68
dcs:StatVarObservation,2023,country/IND,1226740000,USDollar,dcid:Exports_EconomicActivity_CountryARE_HSCode69
dcs:StatVarObservation,2023,country/IND,46479930000,USDollar,dcid:Exports_EconomicActivity_CountryARE_HSCode71
dcs:StatVarObservation,2023,country/IND,8399260000,USDollar,dcid:Exports_EconomicActivity_CountryARE_HSCode72
dcs:StatVarObservation,2023,country/IND,3764870000,USDollar,dcid:Exports_EconomicActivity_CountryARE_HSCode73
dcs:StatVarObservation,2023,country/IND,536380000,USDollar,dcid:Exports_EconomicActivity_CountryARE_HSCode74
dcs:StatVarObservation,2023,country/IND,66230000.0,USDollar,dcid:Exports_EconomicActivity_CountryARE_HSCode75
dcs:StatVarObservation,2023,country/IND,848070000,USDollar,dcid:Exports_EconomicActivity_CountryARE_HSCode76
dcs:StatVarObservation,2023,country/IND,331500000,USDollar,dcid:Exports_EconomicActivity_CountryARE_HSCode78
dcs:StatVarObservation,2023,country/IND,1089330000,USDollar,dcid:Exports_EconomicActivity_CountryARE_HSCode79
dcs:StatVarObservation,2023,country/IND,23950000,USDollar,dcid:Exports_EconomicActivity_CountryARE_HSCode80
dcs:StatVarObservation,2023,country/IND,3020000,USDollar,dcid:Exports_EconomicActivity_CountryARE_HSCode81
dcs:StatVarObservation,2023,country/IND,542090000,USDollar,dcid:Exports_EconomicActivity_CountryARE_HSCode82
dcs:StatVarObservation,2023,country/IND,352870000,USDollar,dcid:Exports_EconomicActivity_CountryARE_HSCode83
dcs:StatVarObservation,2023,country/IND,8653420000,USDollar,dcid:Exports_EconomicActivity_CountryARE_HSCode84
dcs:StatVarObservation,2023,country/IND,7140000,USDollar,dcid:Exports_EconomicActivity_CountryARE_HSCode86
dcs:StatVarObservation,2023,country/IND,5770730000,USDollar,dcid:Exports_EconomicActivity_CountryARE_HSCode87
dcs:StatVarObservation,2023,country/IND,136610000,USDollar,dcid:Exports_EconomicActivity_CountryARE_HSCode88
dcs:StatVarObservation,2023,country/IND,4712650000,USDollar,dcid:Exports_EconomicActivity_CountryARE_HSCode89
dcs:StatVarObservation,2023,country/IND,64330000,USDollar,dcid:Exports_EconomicActivity_CountryARE_HSCode91
dcs:StatVarObservation,2023,country/IND,49460000,USDollar,dcid:Exports_EconomicActivity_CountryARE_HSCode92
dcs:StatVarObservation,2023,country/IND,45610000,USDollar,dcid:Exports_EconomicActivity_CountryARE_HSCode93
dcs:StatVarObservation,2023,country/IND,563580000,USDollar,dcid:Exports_EconomicActivity_CountryARE_HSCode94
dcs:StatVarObservation,2023,country/IND,294090000,USDollar,dcid:Exports_EconomicActivity_CountryARE_HSCode96
dcs:StatVarObservation,2023,country/IND,91440000,USDollar,dcid:Exports_EconomicActivity_CountryARE_HSCode97
dcs:StatVarObservation,2023,country/IND,11940000,USDollar,dcid:Exports_EconomicActivity_CountryARE_HSCode98
dcs:StatVarObservation,2023,country/IND,70000,USDollar,dcid:Exports_EconomicActivity_CountryARE_HSCode99
dcs:StatVarObservation,2022,country/IND,0,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode1509
dcs:StatVarObservation,2023,country/IND,-27.21,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode6806
dcs:StatVarObservation,2023,country/IND,12.55,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode2825
dcs:StatVarObservation,2023,country/IND,0,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode2844
dcs:StatVarObservation,2023,country/IND,-98.36,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode2844
dcs:StatVarObservation,2023,country/IND,50.2,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode2938
dcs:StatVarObservation,2023,country/IND,-8.21,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode3401
dcs:StatVarObservation,2023,country/IND,-37.05,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode3404
dcs:StatVarObservation,2023,country/IND,0,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode3604
dcs:StatVarObservation,2023,country/IND,0,USDollar,dcid:Exports_EconomicActivity_CountryARE_HSCode0207
dcs:StatVarObservation,2024,country/IND,124180000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode07
dcs:StatVarObservation,2024,country/IND,51500000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode08
dcs:StatVarObservation,2024,country/IND,613540000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode09
dcs:StatVarObservation,2024,country/IND,689190000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode10
dcs:StatVarObservation,2024,country/IND,152170000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode11
dcs:StatVarObservation,2024,country/IND,199960000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode12
dcs:StatVarObservation,2024,country/IND,6240000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode14
dcs:StatVarObservation,2024,country/IND,2220000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode16
dcs:StatVarObservation,2024,country/IND,48340000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode17
dcs:StatVarObservation,2024,country/IND,222380000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode19
dcs:StatVarObservation,2024,country/IND,264720000.0,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode20
dcs:StatVarObservation,2024,country/IND,595530000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode21
dcs:StatVarObservation,2024,country/IND,25550000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode22
dcs:StatVarObservation,2024,country/IND,56530000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode23
dcs:StatVarObservation,2024,country/IND,4700000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode24
dcs:StatVarObservation,2024,country/IND,31962320000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode27
dcs:StatVarObservation,2024,country/IND,450770000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode29
dcs:StatVarObservation,2024,country/IND,3460110000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode30
dcs:StatVarObservation,2024,country/IND,4160000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode31
dcs:StatVarObservation,2024,country/IND,185910000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode32
dcs:StatVarObservation,2024,country/IND,243770000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode33
dcs:StatVarObservation,2024,country/IND,103730000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode34
dcs:StatVarObservation,2024,country/IND,19940000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode35
dcs:StatVarObservation,2024,country/IND,60000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode37
dcs:StatVarObservation,2024,country/IND,553360000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode38
dcs:StatVarObservation,2024,country/IND,733400000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode39
dcs:StatVarObservation,2024,country/IND,700890000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode40
dcs:StatVarObservation,2024,country/IND,22430000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode41
dcs:StatVarObservation,2024,country/IND,609350000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode42
dcs:StatVarObservation,2024,country/IND,3040000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode43
dcs:StatVarObservation,2024,country/IND,99760000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode44
dcs:StatVarObservation,2024,country/IND,650000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode45
dcs:StatVarObservation,2024,country/IND,10400000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode46
dcs:StatVarObservation,2023,country/IND,0,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode47
dcs:StatVarObservation,2024,country/IND,0,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode47
dcs:StatVarObservation,2024,country/IND,233000000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode48
dcs:StatVarObservation,2024,country/IND,33570000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode49
dcs:StatVarObservation,2024,country/IND,4760000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode50
dcs:StatVarObservation,2024,country/IND,18470000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode51
dcs:StatVarObservation,2024,country/IND,46860000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode52
dcs:StatVarObservation,2024,country/IND,101540000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode53
dcs:StatVarObservation,2024,country/IND,245240000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode54
dcs:StatVarObservation,2024,country/IND,57640000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode55
dcs:StatVarObservation,2024,country/IND,87160000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode56
dcs:StatVarObservation,2024,country/IND,600690000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode57
dcs:StatVarObservation,2024,country/IND,16070000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode58
dcs:StatVarObservation,2024,country/IND,37370000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode59
dcs:StatVarObservation,2024,country/IND,2000000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode60
dcs:StatVarObservation,2024,country/IND,1144910000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode61
dcs:StatVarObservation,2024,country/IND,1513100000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode62
dcs:StatVarObservation,2024,country/IND,1396330000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode63
dcs:StatVarObservation,2024,country/IND,177780000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode64
dcs:StatVarObservation,2024,country/IND,25230000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode65
dcs:StatVarObservation,2024,country/IND,230000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode66
dcs:StatVarObservation,2024,country/IND,125360000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode68
dcs:StatVarObservation,2024,country/IND,167830000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode69
dcs:StatVarObservation,2024,country/IND,138810000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode70
dcs:StatVarObservation,2024,country/IND,2482900000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode71
dcs:StatVarObservation,2024,country/IND,446150000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode72
dcs:StatVarObservation,2024,country/IND,2037620000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode73
dcs:StatVarObservation,2024,country/IND,113240000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode74
dcs:StatVarObservation,2024,country/IND,1390000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode75
dcs:StatVarObservation,2024,country/IND,568050000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode76
dcs:StatVarObservation,2024,country/IND,12400000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode78
dcs:StatVarObservation,2024,country/IND,3380000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode79
dcs:StatVarObservation,2024,country/IND,20000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode80
dcs:StatVarObservation,2024,country/IND,1400000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode81
dcs:StatVarObservation,2024,country/IND,262700000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode82
dcs:StatVarObservation,2024,country/IND,113750000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode83
dcs:StatVarObservation,2024,country/IND,2996230000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode84
dcs:StatVarObservation,2024,country/IND,3598060000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode85
dcs:StatVarObservation,2024,country/IND,91050000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode86
dcs:StatVarObservation,2024,country/IND,2210030000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode87
dcs:StatVarObservation,2024,country/IND,27550000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode88
dcs:StatVarObservation,2024,country/IND,210000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode89
dcs:StatVarObservation,2024,country/IND,406730000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode90
dcs:StatVarObservation,2024,country/IND,4290000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode91
dcs:StatVarObservation,2024,country/IND,4030000.0,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode92
dcs:StatVarObservation,2024,country/IND,9000000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode93
dcs:StatVarObservation,2024,country/IND,469430000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode94
dcs:StatVarObservation,2024,country/IND,273890000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode95
dcs:StatVarObservation,2024,country/IND,93380000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode96
dcs:StatVarObservation,2024,country/IND,10320000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode97
dcs:StatVarObservation,2024,country/IND,350000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode98
dcs:StatVarObservation,2024,country/IND,40000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode99
dcs:StatVarObservation,2024,country/IND,83.89,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryARE_HSCode99
dcs:StatVarObservation,2023,country/IND,450000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode0305
dcs:StatVarObservation,2024,country/IND,590000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode0305
dcs:StatVarObservation,2024,country/IND,29.75,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode0305
dcs:StatVarObservation,2023,country/IND,4590000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode0306
dcs:StatVarObservation,2024,country/IND,4390000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode0306
dcs:StatVarObservation,2024,country/IND,-4.52,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode0306
dcs:StatVarObservation,2023,country/IND,21850000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode0307
dcs:StatVarObservation,2024,country/IND,17270000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode0307
dcs:StatVarObservation,2024,country/IND,-20.93,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode0307
dcs:StatVarObservation,2023,country/IND,0,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode0402
dcs:StatVarObservation,2024,country/IND,60000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode0402
dcs:StatVarObservation,2024,country/IND,1938.12,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode0402
dcs:StatVarObservation,2023,country/IND,10000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode0403
dcs:StatVarObservation,2024,country/IND,10000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode0403
dcs:StatVarObservation,2024,country/IND,145.08,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode0403
dcs:StatVarObservation,2023,country/IND,30000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode0404
dcs:StatVarObservation,2024,country/IND,0,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode0404
dcs:StatVarObservation,2024,country/IND,-98.55,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode0404
dcs:StatVarObservation,2023,country/IND,55010000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode0405
dcs:StatVarObservation,2024,country/IND,79220000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode0405
dcs:StatVarObservation,2024,country/IND,44.03,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode0405
dcs:StatVarObservation,2023,country/IND,100000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode0406
dcs:StatVarObservation,2024,country/IND,50000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode0406
dcs:StatVarObservation,2024,country/IND,-47.11,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode0406
dcs:StatVarObservation,2023,country/IND,1800000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode0409
dcs:StatVarObservation,2024,country/IND,3240000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode0409
dcs:StatVarObservation,2024,country/IND,80.32,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode0409
dcs:StatVarObservation,2023,country/IND,0,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode0507
dcs:StatVarObservation,2024,country/IND,0,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode0507
dcs:StatVarObservation,2024,country/IND,209.6,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode0507
dcs:StatVarObservation,2023,country/IND,50000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode0508
dcs:StatVarObservation,2024,country/IND,100000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode0508
dcs:StatVarObservation,2024,country/IND,111.24,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode0508
dcs:StatVarObservation,2023,country/IND,0,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode0510
dcs:StatVarObservation,2024,country/IND,0,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode0510
dcs:StatVarObservation,2024,country/IND,209.6,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode0510
dcs:StatVarObservation,2023,country/IND,90000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode0601
dcs:StatVarObservation,2024,country/IND,30000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode0601
dcs:StatVarObservation,2024,country/IND,-69.12,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode0601
dcs:StatVarObservation,2023,country/IND,5370000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode0602
dcs:StatVarObservation,2024,country/IND,4540000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode0602
dcs:StatVarObservation,2024,country/IND,-15.49,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode0602
dcs:StatVarObservation,2023,country/IND,6640000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode0603
dcs:StatVarObservation,2024,country/IND,8850000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode0603
dcs:StatVarObservation,2024,country/IND,33.16,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode0603
dcs:StatVarObservation,2023,country/IND,1240000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode0604
dcs:StatVarObservation,2024,country/IND,750000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode0604
dcs:StatVarObservation,2024,country/IND,-39.31,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode0604
dcs:StatVarObservation,2023,country/IND,0,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode0701
dcs:StatVarObservation,2024,country/IND,0,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode0701
dcs:StatVarObservation,2024,country/IND,209.6,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode0701
dcs:StatVarObservation,2023,country/IND,360000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode0703
dcs:StatVarObservation,2024,country/IND,880000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode0703
dcs:StatVarObservation,2024,country/IND,145.24,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode0703
dcs:StatVarObservation,2023,country/IND,10000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode0706
dcs:StatVarObservation,2024,country/IND,10000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode0706
dcs:StatVarObservation,2024,country/IND,-25.39,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode0706
dcs:StatVarObservation,2023,country/IND,40000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode0708
dcs:StatVarObservation,2024,country/IND,0,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode0708
dcs:StatVarObservation,2024,country/IND,209.6,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode0708
dcs:StatVarObservation,2023,country/IND,3210000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode0709
dcs:StatVarObservation,2024,country/IND,4170000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode0709
dcs:StatVarObservation,2024,country/IND,29.77,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode0709
dcs:StatVarObservation,2023,country/IND,34750000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode0710
dcs:StatVarObservation,2024,country/IND,41240000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode0710
dcs:StatVarObservation,2024,country/IND,18.67,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode0710
dcs:StatVarObservation,2023,country/IND,7770000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode0711
dcs:StatVarObservation,2024,country/IND,7490000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode0711
dcs:StatVarObservation,2024,country/IND,-3.58,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode0711
dcs:StatVarObservation,2023,country/IND,16690000.0,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode0712
dcs:StatVarObservation,2024,country/IND,20550000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode0712
dcs:StatVarObservation,2024,country/IND,23.15,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode0712
dcs:StatVarObservation,2023,country/IND,970000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode0714
dcs:StatVarObservation,2024,country/IND,1750000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode0714
dcs:StatVarObservation,2024,country/IND,79.49,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode0714
dcs:StatVarObservation,2023,country/IND,6950000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode0801
dcs:StatVarObservation,2024,country/IND,11370000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode0801
dcs:StatVarObservation,2024,country/IND,63.63,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode0801
dcs:StatVarObservation,2023,country/IND,3260000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode0802
dcs:StatVarObservation,2024,country/IND,3180000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode0802
dcs:StatVarObservation,2024,country/IND,-2.63,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode0802
dcs:StatVarObservation,2023,country/IND,60000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode0803
dcs:StatVarObservation,2024,country/IND,50000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode0803
dcs:StatVarObservation,2024,country/IND,-10.17,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode0803
dcs:StatVarObservation,2023,country/IND,17810000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode0804
dcs:StatVarObservation,2024,country/IND,15470000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode0804
dcs:StatVarObservation,2024,country/IND,-13.18,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode0804
dcs:StatVarObservation,2023,country/IND,30000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode0805
dcs:StatVarObservation,2024,country/IND,20000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode0805
dcs:StatVarObservation,2024,country/IND,-3.04,Percent,dcid:GrowthRate_Exports_EconomicActivity_CountryAUS_HSCode0805
dcs:StatVarObservation,2023,country/IND,10000,USDollar,dcid:Exports_EconomicActivity_CountryAUS_HSCode0807
